NIP,Nama,Tanggal_Lahir,email,username,first_name,last_name
229206793857359405,"Nabila Riyanti, M.M.",1999-11-11,nabila.riyanti@example.go.id,nabila.riyanti,Nabila,"Riyanti, M.M."
398655510611638944,"Dr. Ivan Pratama, S.IP",2000-10-09,dr..ivan@example.go.id,dr..ivan,Dr.,"Ivan Pratama, S.IP"
941302493726128822,Purwa Adriansyah,1970-08-05,purwa.adriansyah@example.go.id,purwa.adriansyah,Purwa,Adriansyah
753262612056907647,Vanesa Nainggolan,1992-04-10,vanesa.nainggolan@example.go.id,vanesa.nainggolan,Vanesa,Nainggolan
672245484663084830,Ikhsan Winarsih,1990-04-13,ikhsan.winarsih@example.go.id,ikhsan.winarsih,Ikhsan,Winarsih
132142334537502190,"Cakrabuana Tarihoran, S.I.Kom",2003-07-21,cakrabuana.tarihoran@example.go.id,cakrabuana.tarihoran,Cakrabuana,"Tarihoran, S.I.Kom"
324413322457783379,Queen Jailani,1985-11-27,queen.jailani@example.go.id,queen.jailani,Queen,Jailani
370863829885249672,"Fathonah Susanti, S.Kom",1987-04-06,fathonah.susanti@example.go.id,fathonah.susanti,Fathonah,"Susanti, S.Kom"
111320815426950019,"Pranawa Permadi, S.Kom",1974-12-04,pranawa.permadi@example.go.id,pranawa.permadi,Pranawa,"Permadi, S.Kom"
684687375616814375,"Dr. Prayogo Latupono, S.H.",1980-05-13,dr..prayogo@example.go.id,dr..prayogo,Dr.,"Prayogo Latupono, S.H."
474014052543263509,drg. Mursita Hakim,1988-09-16,drg..mursita@example.go.id,drg..mursita,drg.,Mursita Hakim
263690368077630327,Dr. Kambali Wastuti,1967-10-26,dr..kambali@example.go.id,dr..kambali,Dr.,Kambali Wastuti
184383275070860442,"Ivan Fujiati, S.E.I",1993-03-18,ivan.fujiati@example.go.id,ivan.fujiati,Ivan,"Fujiati, S.E.I"
976034611738635563,Tgk. Dariati Setiawan,1976-11-04,tgk..dariati@example.go.id,tgk..dariati,Tgk.,Dariati Setiawan
155930418610767280,"Ira Riyanti, S.Sos",1977-07-27,ira.riyanti@example.go.id,ira.riyanti,Ira,"Riyanti, S.Sos"
