NIK,Nama,Tanggal_Lahir,email,username,first_name,last_name
1043321819600133,Tomi Hartati,2003-11-20,tomi.hartati@example.go.id,tomi.hartati,Tomi,Hartati
8908386379402654,"Ir. Julia Budiyanto, M.Kom.",1995-09-26,ir..julia@example.go.id,ir..julia,Ir.,"Julia Budiyanto, M.Kom."
2351161559407816,Galih Mandasari,2007-07-03,galih.mandasari@example.go.id,galih.mandasari,Galih,Mandasari
1849593103413164,R.M. Labuh Siregar,1951-10-12,r.m..labuh@example.go.id,r.m..labuh,R.M.,Labuh Siregar
7525534192832764,"Drs. Sari Wastuti, S.Psi",1967-11-20,drs..sari@example.go.id,drs..sari,Drs.,"Sari Wastuti, S.Psi"
8350305641395376,Galar Rahmawati,1994-04-24,galar.rahmawati@example.go.id,galar.rahmawati,Galar,Rahmawati
7242388496965328,"T. Jaswadi Sihombing, S.Gz",1966-10-27,t..jaswadi@example.go.id,t..jaswadi,T.,"Jaswadi Sihombing, S.Gz"
7101226916697848,Puti Puti Puspita,1956-10-25,puti.puti@example.go.id,puti.puti,Puti,Puti Puspita
0184514627048281,Irwan Nurdiyanti,1956-01-30,irwan.nurdiyanti@example.go.id,irwan.nurdiyanti,Irwan,Nurdiyanti
4893252880957015,Cut Dina Safitri,1979-02-14,cut.dina@example.go.id,cut.dina,Cut,Dina Safitri
4303911718227824,"Dt. Luhung Wahyuni, S.I.Kom",1976-04-26,dt..luhung@example.go.id,dt..luhung,Dt.,"Luhung Wahyuni, S.I.Kom"
8963834657871331,"drg. Gabriella Winarno, S.E.I",1991-12-30,drg..gabriella@example.go.id,drg..gabriella,drg.,"Gabriella Winarno, S.E.I"
5098393010310518,Natalia Hardiansyah,1976-05-31,natalia.hardiansyah@example.go.id,natalia.hardiansyah,Natalia,Hardiansyah
3473829973763116,Argono Hasanah,2000-03-31,argono.hasanah@example.go.id,argono.hasanah,Argono,Hasanah
5667010651333872,"Karen Kusumo, S.Kom",1945-09-23,karen.kusumo@example.go.id,karen.kusumo,Karen,"Kusumo, S.Kom"
6247317810801326,Jamalia Latupono,1979-04-24,jamalia.latupono@example.go.id,jamalia.latupono,Jamalia,Latupono
7736026064746872,Hj. Victoria Uyainah,1992-08-14,hj..victoria@example.go.id,hj..victoria,Hj.,Victoria Uyainah
3430980500978820,Bakda Haryanti,2002-10-31,bakda.haryanti@example.go.id,bakda.haryanti,Bakda,Haryanti
8121913619399091,"Anita Sirait, S.H.",1986-11-04,anita.sirait@example.go.id,anita.sirait,Anita,"Sirait, S.H."
6998543534624751,Devi Wahyudin,1987-06-15,devi.wahyudin@example.go.id,devi.wahyudin,Devi,Wahyudin
0799118384251354,Ani Wahyuni,2002-10-06,ani.wahyuni@example.go.id,ani.wahyuni,Ani,Wahyuni
2784980841241182,T. Gamani Nashiruddin,1978-03-24,t..gamani@example.go.id,t..gamani,T.,Gamani Nashiruddin
4493534874016400,"R.A. Bella Waskita, M.M.",1973-12-22,r.a..bella@example.go.id,r.a..bella,R.A.,"Bella Waskita, M.M."
