NISN,Nama,Tanggal_Lahir,email,username,first_name,last_name
8197656968,Kairav Sitorus,2012-09-08,kairav.sitorus@example.go.id,kairav.sitorus,Kairav,Sitorus
4516535937,T. Jumadi Usamah,2019-07-21,t..jumadi@example.go.id,t..jumadi,T.,Jumadi Usamah
4788024812,Ir. Vanesa Utama,2011-11-01,ir..vanesa@example.go.id,ir..vanesa,Ir.,Vanesa Utama
9882849364,Elisa Utama,2010-07-31,elisa.utama@example.go.id,elisa.utama,Elisa,Utama
1799574526,Viman Tamba,2015-07-28,viman.tamba@example.go.id,viman.tamba,Viman,Tamba
5290649032,drg. Ian Prayoga,2010-02-11,drg..ian@example.go.id,drg..ian,drg.,Ian Prayoga
6154008005,H. Jumari Tampubolon,2015-11-03,h..jumari@example.go.id,h..jumari,H.,Jumari Tampubolon
9385356963,Galih Marpaung,2015-07-13,galih.marpaung@example.go.id,galih.marpaung,Galih,Marpaung
0467688971,Asmadi Prasetyo,2020-06-01,asmadi.prasetyo@example.go.id,asmadi.prasetyo,Asmadi,Prasetyo
5210353374,Cut Silvia Mangunsong,2018-11-21,cut.silvia@example.go.id,cut.silvia,Cut,Silvia Mangunsong
4203191915,"Amelia Habibi, S.Gz",2018-09-29,amelia.habibi@example.go.id,amelia.habibi,Amelia,"Habibi, S.Gz"
6368762402,Gatot Waskita,2016-08-25,gatot.waskita@example.go.id,gatot.waskita,Gatot,Waskita
4443965442,Prakosa Utama,2009-05-07,prakosa.utama@example.go.id,prakosa.utama,Prakosa,Utama
6714459342,Zelaya Uwais,2013-03-11,zelaya.uwais@example.go.id,zelaya.uwais,Zelaya,Uwais
1872383965,Dimaz Nainggolan,2012-07-01,dimaz.nainggolan@example.go.id,dimaz.nainggolan,Dimaz,Nainggolan
0781896998,Galur Latupono,2020-05-07,galur.latupono@example.go.id,galur.latupono,Galur,Latupono
0346841679,Nalar Tampubolon,2018-07-22,nalar.tampubolon@example.go.id,nalar.tampubolon,Nalar,Tampubolon
0783364512,"Sutan Ajiono Nababan, M.Ak",2015-11-23,sutan.ajiono@example.go.id,sutan.ajiono,Sutan,"Ajiono Nababan, M.Ak"
7771440186,Marwata Suartini,2012-04-18,marwata.suartini@example.go.id,marwata.suartini,Marwata,Suartini
9505913337,KH. Yosef Maryati,2008-02-29,kh..yosef@example.go.id,kh..yosef,KH.,Yosef Maryati
4542638182,Lukita Mansur,2016-08-23,lukita.mansur@example.go.id,lukita.mansur,Lukita,Mansur
2512954904,Unjani Wijayanti,2018-06-13,unjani.wijayanti@example.go.id,unjani.wijayanti,Unjani,Wijayanti
5557627433,Ika Utami,2009-04-27,ika.utami@example.go.id,ika.utami,Ika,Utami
7792368941,Siska Saragih,2013-04-19,siska.saragih@example.go.id,siska.saragih,Siska,Saragih
8250240895,"Sadina Pudjiastuti, S.Kom",2011-01-29,sadina.pudjiastuti@example.go.id,sadina.pudjiastuti,Sadina,"Pudjiastuti, S.Kom"
2257281865,Safina Riyanti,2015-05-18,safina.riyanti@example.go.id,safina.riyanti,Safina,Riyanti
5946890472,"Artawan Andriani, S.H.",2011-02-28,artawan.andriani@example.go.id,artawan.andriani,Artawan,"Andriani, S.H."
7467443348,Aurora Oktaviani,2018-03-31,aurora.oktaviani@example.go.id,aurora.oktaviani,Aurora,Oktaviani
2096513105,"Dr. Ifa Nurdiyanti, S.Gz",2008-11-06,dr..ifa@example.go.id,dr..ifa,Dr.,"Ifa Nurdiyanti, S.Gz"
1804393225,Puti Dina Puspasari,2016-06-02,puti.dina@example.go.id,puti.dina,Puti,Dina Puspasari
3271005752,"R.A. Gasti Salahudin, M.TI.",2019-12-24,r.a..gasti@example.go.id,r.a..gasti,R.A.,"Gasti Salahudin, M.TI."
5330400281,Dr. Jasmin Nurdiyanti,2011-11-25,dr..jasmin@example.go.id,dr..jasmin,Dr.,Jasmin Nurdiyanti
6560332773,Drs. Lili Prastuti,2014-04-24,drs..lili@example.go.id,drs..lili,Drs.,Lili Prastuti
0656198125,Lembah Pratama,2014-10-24,lembah.pratama@example.go.id,lembah.pratama,Lembah,Pratama
